Hướng nhà,Hướng ban công,Loại tin,Area Range,Diện Tích,Giá,Triệu/m2,Ngày đăng,Số Phòng Ngủ,Số Nhà Vệ Sinh,Quận,Giá Đề Xuất,Đường,Số Căn Hộ,Chủ Đầu Tư,Trạng Thái,Full_Address,Latitude,Longitude
Tây,,Tin VIP Vàng,"(64.577, 83.769]",83.6,8.6,10.3,2024-10-20,4.0,5.0,quận 7,93150.0,huỳnh tấn phát,,cá nhân/môi giới,Đã bàn giao,"huỳnh tấn phát, quận 7, Hồ Chí Minh, Vietnam",10.736037,106.731316
,,Tin VIP Vàng,"(141.346, 160.538]",154.0,30.0,19.5,2024-10-20,4.0,5.0,thủ đức,64800.0,hiệp bình,,Công ty CP Đầu tư Địa ốc Vạn Phúc - Dai Phuc Group,Đang mở bán,"hiệp bình, thủ đức, Hồ Chí Minh, Vietnam",10.838638,106.732671
Đông,,Tin VIP Vàng,"(83.769, 102.962]",92.0,1.35,1.5,2024-10-20,4.0,5.0,củ chi,5400.0,lý thị chừng,,cá nhân/môi giới,Đã bàn giao,"lý thị chừng, củ chi, Hồ Chí Minh, Vietnam",10.973198,106.494733
,,Tin VIP Vàng,"(45.385, 64.577]",62.2,12.0,19.3,2024-10-20,2.0,2.0,quận 7,93150.0,huỳnh tấn phát,,cá nhân/môi giới,Đã bàn giao,"huỳnh tấn phát, quận 7, Hồ Chí Minh, Vietnam",10.736037,106.731316
Tây - Bắc,Đông - Nam,Tin VIP Vàng,"(64.577, 83.769]",65.0,2.7,4.2,2024-10-20,2.0,2.0,tân phú,74354.52755905512,,,Novaland Group,Đã bàn giao,", tân phú, Hồ Chí Minh, Vietnam",10.79299,106.628352
Tây - Nam,Đông - Bắc,Tin VIP Vàng,"(83.769, 102.962]",94.0,10.5,11.2,2024-10-20,3.0,2.0,quận 1,157800.0,võ văn kiệt,,CapitaLand Development (Việt Nam),Bàn giao năm 2018,"võ văn kiệt, quận 1, Hồ Chí Minh, Vietnam",10.776172,106.701203
Đông,,Tin VIP Vàng,"(179.731, 198.923]",180.0,69.0,38.3,2024-10-19,1.0,3.0,tân bình,101933.79629629629,,,cá nhân/môi giới,Đã bàn giao,", tân bình, Hồ Chí Minh, Vietnam",10.801616,106.651677
Bắc,Bắc,Tin VIP Vàng,"(83.769, 102.962]",85.1,16.9,19.9,2024-10-19,6.0,6.0,tân bình,74300.0,đường số 2,,cá nhân/môi giới,Đã bàn giao,"đường số 2, tân bình, Hồ Chí Minh, Vietnam",10.801616,106.651677
Đông - Bắc,,Tin VIP Vàng,"(102.962, 122.154]",114.0,14.0,12.3,2024-10-19,2.0,3.0,quận 2,132000.0,mai chí thọ,,Công ty Cổ phần Gamuda Land Việt Nam,Đang mở bán,"mai chí thọ, quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
Tây - Bắc,Đông - Nam,Tin VIP Vàng,"(64.577, 83.769]",78.0,3.99,5.1,2024-10-19,2.0,2.0,thủ đức,64800.0,hiệp bình,,Kusto Home,9/2023: mở bán đợt mới 80 căn,"hiệp bình, thủ đức, Hồ Chí Minh, Vietnam",10.838638,106.732671
,,Tin VIP Vàng,"(64.577, 83.769]",67.0,3.0,4.5,2024-10-18,2.0,2.0,quận 9,61450.0,võ chí công,1570.0,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,Đã bàn giao,"võ chí công, quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
Bắc,Bắc,Tin VIP Vàng,"(141.346, 160.538]",160.0,10.5,6.6,2024-10-15,4.0,5.0,quận 9,66200.0,nguyễn duy trinh,,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,Đã bàn giao,"nguyễn duy trinh, quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
,,Tin VIP Vàng,"(179.731, 198.923]",189.0,7.3709999999999996,3.9,2024-10-18,4.0,5.0,quận 9,45400.0,gò cát,,cá nhân/môi giới,Đã bàn giao,"gò cát, quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
,,Tin VIP Vàng,"(64.577, 83.769]",72.0,6.2,8.6,2024-10-17,5.0,6.0,bình tân,67900.0,hương lộ 2,,cá nhân/môi giới,Đã bàn giao,"hương lộ 2, bình tân, Hồ Chí Minh, Vietnam",10.770822,106.599385
,,Tin VIP Vàng,"(64.577, 83.769]",76.0,11.5,15.1,2024-10-17,5.0,4.0,bình thạnh,103700.0,bình lợi,,cá nhân/môi giới,Đã bàn giao,"bình lợi, bình thạnh, Hồ Chí Minh, Vietnam",10.751082,106.480172
,,Tin VIP Vàng,"(141.346, 160.538]",160.0,8.5,5.3,2024-10-17,4.0,4.0,quận 9,66200.0,nguyễn duy trinh,,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,Đã bàn giao,"nguyễn duy trinh, quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
,,Tin VIP Vàng,"(64.577, 83.769]",70.0,3.85,5.5,2024-10-16,2.0,1.0,quận 4,164700.0,bến vân đồn,1905.0,Công ty CP May - Diêm Sài Gòn,Đã bàn giao,"bến vân đồn, quận 4, Hồ Chí Minh, Vietnam",10.760991,106.707458
,,Tin thường,"(122.154, 141.346]",140.0,24.0,17.1,2024-10-25,2.0,1.0,quận 10,159200.0,sư vạn hạnh,,cá nhân/môi giới,Đã bàn giao,"sư vạn hạnh, quận 10, Hồ Chí Minh, Vietnam",10.772984,106.669106
,,Tin thường,"(160.538, 179.731]",167.0,30.0,18.0,2024-10-25,9.0,7.0,quận 10,159200.0,sư vạn hạnh,,cá nhân/môi giới,Đã bàn giao,"sư vạn hạnh, quận 10, Hồ Chí Minh, Vietnam",10.772984,106.669106
,,Tin thường,"(64.577, 83.769]",74.6,6.85,9.2,2024-10-19,2.0,2.0,bình thạnh,179800.0,điện biên phủ,13000.0,Tập đoàn Vingroup,Đã bàn giao,"điện biên phủ, bình thạnh, Hồ Chí Minh, Vietnam",10.801532,106.714236
,,Tin thường,"(64.577, 83.769]",66.0,15.5,23.5,2024-10-25,2.0,2.0,quận 3,262100.0,cao thắng,,cá nhân/môi giới,Đã bàn giao,"cao thắng, quận 3, Hồ Chí Minh, Vietnam",10.768893,106.683179
Đông - Nam,,Tin thường,"(45.385, 64.577]",60.0,2.95,4.9,2024-10-23,2.0,2.0,quận 12,27000.0,vườn lài,,cá nhân/môi giới,Đã bàn giao,"vườn lài, quận 12, Hồ Chí Minh, Vietnam",10.765652,106.674176
,,Tin thường,"(26.192, 45.385]",35.0,1.8,5.1,2024-10-26,2.0,2.0,phú nhuận,98100.0,thích quảng đức,,cá nhân/môi giới,Đã bàn giao,"thích quảng đức, phú nhuận, Hồ Chí Minh, Vietnam",10.808446,106.681656
,,Tin thường,"(160.538, 179.731]",175.0,19.0,10.9,2024-10-26,6.0,6.0,tân phú,115000.0,vườn lài,,cá nhân/môi giới,Đã bàn giao,"vườn lài, tân phú, Hồ Chí Minh, Vietnam",10.765652,106.674176
Đông,Đông,Tin thường,"(45.385, 64.577]",46.0,6.0,13.0,2024-10-24,6.0,6.0,bình thạnh,113000.0,chu văn an,,cá nhân/môi giới,Đã bàn giao,"chu văn an, bình thạnh, Hồ Chí Minh, Vietnam",10.811195,106.704566
,,Tin thường,"(179.731, 198.923]",182.0,32.0,17.6,2024-10-23,6.0,6.0,quận 10,188600.0,nguyễn tri phương,,cá nhân/môi giới,Đã bàn giao,"nguyễn tri phương, quận 10, Hồ Chí Minh, Vietnam",10.764446,106.662585
,,Tin thường,"(45.385, 64.577]",55.0,2.3,4.2,2024-10-26,1.0,1.0,quận 7,40233.333333333336,đào trí,,Công ty CP Tập đoàn Hưng Thịnh,Đã bàn giao căn hộ,"đào trí, quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
,,Tin thường,"(141.346, 160.538]",160.0,28.0,17.5,2024-10-21,1.0,1.0,quận 10,159200.0,sư vạn hạnh,,cá nhân/môi giới,Đã bàn giao,"sư vạn hạnh, quận 10, Hồ Chí Minh, Vietnam",10.772984,106.669106
,,Tin thường,"(122.154, 141.346]",139.8,16.5,11.8,2024-10-23,4.0,3.0,bình thạnh,179800.0,điện biên phủ,13000.0,Tập đoàn Vingroup,Đã bàn giao,"điện biên phủ, bình thạnh, Hồ Chí Minh, Vietnam",10.801532,106.714236
,,Tin VIP Vàng,"(64.577, 83.769]",66.0,3.1,4.7,2024-10-16,2.0,2.0,quận 7,129600.0,đường n,,Công ty CP Quốc Cường Gia Lai,Đã bàn giao,"đường n, quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
,,Tin VIP Vàng,"(45.385, 64.577]",56.0,15.0,26.8,2024-10-16,2.0,2.0,thủ đức,93200.0,phạm văn đồng,,cá nhân/môi giới,Đã bàn giao,"phạm văn đồng, thủ đức, Hồ Chí Minh, Vietnam",10.829355,106.761905
Tây,Đông,Tin VIP Vàng,"(45.385, 64.577]",53.0,2.15,4.1,2024-10-16,1.0,1.0,bình tân,93050.0,kinh dương vương,656.0,Công ty CP Tập đoàn Hưng Thịnh,Đã bàn giao,"kinh dương vương, bình tân, Hồ Chí Minh, Vietnam",10.728363,106.60768
,,Tin thường,"(122.154, 141.346]",124.0,13.7,11.0,2024-10-26,1.0,1.0,quận 7,71700.0,lê văn lương,,cá nhân/môi giới,Đã bàn giao,"lê văn lương, quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
Tây - Nam,Tây - Nam,Tin VIP Vàng,"(122.154, 141.346]",133.7,19.5,14.6,2024-10-16,4.0,4.0,thủ đức,59327.65113974232,,,cá nhân/môi giới,Đã bàn giao,", thủ đức, Hồ Chí Minh, Vietnam",10.829355,106.761905
,,Tin thường,"(45.385, 64.577]",55.0,10.2,18.5,2024-10-26,4.0,3.0,phú nhuận,173300.0,huỳnh văn bánh,,cá nhân/môi giới,Đã bàn giao,"huỳnh văn bánh, phú nhuận, Hồ Chí Minh, Vietnam",10.799478,106.680164
,,Tin thường,"(237.308, 256.5]",250.0,15.0,6.0,2024-10-26,6.0,4.0,bình tân,67900.0,hương lộ 2,,cá nhân/môi giới,Đã bàn giao,"hương lộ 2, bình tân, Hồ Chí Minh, Vietnam",10.770822,106.599385
Đông,Đông,Tin thường,"(45.385, 64.577]",60.0,5.5,9.2,2024-10-26,5.0,5.0,bình tân,28400.0,"liên khu 4-5, phường bình hưng hòa b",,cá nhân/môi giới,Đã bàn giao,"liên khu 4-5, phường bình hưng hòa b, bình tân, Hồ Chí Minh, Vietnam",10.804888,106.591761
,,Tin thường,"(122.154, 141.346]",124.0,31.5,25.4,2024-10-26,5.0,5.0,phú nhuận,272200.0,nguyễn văn trỗi,,cá nhân/môi giới,Đã bàn giao,"nguyễn văn trỗi, phú nhuận, Hồ Chí Minh, Vietnam",10.796966,106.673308
,,Tin VIP Vàng,"(64.577, 83.769]",71.0,4.1,5.8,2024-10-15,2.0,2.0,quận 7,129600.0,đường n,,Công ty TNHH Phát Triển Phú Mỹ Hưng,Đã bàn giao,"đường n, quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
,,Tin thường,"(198.923, 218.115]",200.0,35.0,17.5,2024-10-26,3.0,5.0,bình tân,82400.0,"đường số 5, phường bình trị đông b",,cá nhân/môi giới,Đã bàn giao,"đường số 5, phường bình trị đông b, bình tân, Hồ Chí Minh, Vietnam",10.75162,106.615098
,,Tin VIP Vàng,"(45.385, 64.577]",58.0,2.6,4.5,2024-10-13,3.0,5.0,quận 9,59327.65113974232,,,Tập đoàn Vingroup,6/7/2023: Mở bán đợt 1,", quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
,,Tin thường,"(26.192, 45.385]",40.0,10.5,26.2,2024-10-24,5.0,4.0,quận 1,145400.0,trần khắc chân,,cá nhân/môi giới,Đã bàn giao,"trần khắc chân, quận 1, Hồ Chí Minh, Vietnam",10.776172,106.701203
Nam,Bắc,Tin VIP Vàng,"(64.577, 83.769]",66.0,4.35,6.6,2024-10-15,2.0,2.0,quận 7,129600.0,đường n,,Công ty CP Đầu tư và Xây dựng Xuân Mai,"30/8/2022: động thổ xây 1300 căn NOXH, phân khu MR1","đường n, quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
,,Tin thường,"(141.346, 160.538]",160.0,17.0,10.6,2024-10-26,4.0,3.0,quận 12,101900.0,phan văn hớn,,cá nhân/môi giới,Đã bàn giao,"phan văn hớn, quận 12, Hồ Chí Minh, Vietnam",10.861721,106.661096
,,Tin thường,"(45.385, 64.577]",64.0,7.4,11.6,2024-10-24,4.0,4.0,bình tân,81600.0,lê văn quới,,cá nhân/môi giới,Đã bàn giao,"lê văn quới, bình tân, Hồ Chí Minh, Vietnam",10.770822,106.599385
Đông - Bắc,Tây - Nam,Tin VIP Vàng,"(83.769, 102.962]",97.0,6.6,6.8,2024-10-15,3.0,2.0,quận 9,59327.65113974232,,,Masterise Homes,Đã bàn giao,", quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
,,Tin thường,"(45.385, 64.577]",50.0,2.55,5.1,2024-10-26,1.0,1.0,quận 10,204800.0,cao thắng,,Công ty CP Địa ốc Sài Gòn Thương Tín (TTC Land),Đã bàn giao,"cao thắng, quận 10, Hồ Chí Minh, Vietnam",10.768893,106.683179
,,Tin thường,"(102.962, 122.154]",120.6,15.0,12.4,2024-10-26,3.0,6.0,tân phú,121500.0,tân sơn nhì,,cá nhân/môi giới,Đã bàn giao,"tân sơn nhì, tân phú, Hồ Chí Minh, Vietnam",10.798443,106.631692
,,Tin VIP Vàng,"(83.769, 102.962]",85.0,3.9,4.6,2024-10-15,2.0,2.0,nhà bè,52500.0,nguyễn hữu thọ,,Công ty TNHH Keppel Land Việt Nam,Đang mở bán,"nguyễn hữu thọ, nhà bè, Hồ Chí Minh, Vietnam",10.696773,106.739378
,,Tin thường,"(141.346, 160.538]",160.0,22.5,14.1,2024-10-18,4.0,3.0,bình thạnh,179800.0,điện biên phủ,13000.0,Tập đoàn Vingroup,Đã bàn giao,"điện biên phủ, bình thạnh, Hồ Chí Minh, Vietnam",10.801532,106.714236
,,Tin thường,"(45.385, 64.577]",56.0,5.9,10.5,2024-10-26,5.0,4.0,bình tân,30900.0,lô tư,,cá nhân/môi giới,Đã bàn giao,"lô tư, bình tân, Hồ Chí Minh, Vietnam",10.770822,106.599385
,,Tin VIP Vàng,"(64.577, 83.769]",71.0,5.9,8.3,2024-10-15,2.0,2.0,quận 4,104300.0,tôn thất thuyết,870.0,CapitaLand Development (Việt Nam),Sắp bàn giao,"tôn thất thuyết, quận 4, Hồ Chí Minh, Vietnam",10.753785,106.704498
,,Tin thường,"(141.346, 160.538]",142.7,16.0,11.2,2024-10-21,4.0,5.0,quận 7,145800.0,nguyễn thị thập,,cá nhân/môi giới,Đã bàn giao,"nguyễn thị thập, quận 7, Hồ Chí Minh, Vietnam",10.737176,106.72516
,,Tin thường,"(45.385, 64.577]",62.0,6.5,10.5,2024-10-26,4.0,5.0,bình tân,53400.0,"liên khu 5-11-12, phường bình trị đông",,cá nhân/môi giới,Đã bàn giao,"liên khu 5-11-12, phường bình trị đông, bình tân, Hồ Chí Minh, Vietnam",10.76653,106.616747
,,Tin thường,"(141.346, 160.538]",150.0,17.5,11.7,2024-10-26,3.0,4.0,thủ đức,59327.65113974232,,,cá nhân/môi giới,Đã bàn giao,", thủ đức, Hồ Chí Minh, Vietnam",10.829355,106.761905
,,Tin thường,"(45.385, 64.577]",63.0,2.99,4.7,2024-10-26,3.0,4.0,quận 1,267213.53383458644,,,cá nhân/môi giới,Đã bàn giao,", quận 1, Hồ Chí Minh, Vietnam",10.776172,106.701203
,,Tin VIP Vàng,"(198.923, 218.115]",200.0,18.0,9.0,2024-10-15,5.0,5.0,thủ đức,59327.65113974232,,,cá nhân/môi giới,Đã bàn giao,", thủ đức, Hồ Chí Minh, Vietnam",10.829355,106.761905
Bắc,,Tin thường,"(45.385, 64.577]",58.0,3.1,5.3,2024-10-26,4.0,5.0,gò vấp,66400.0,nguyễn văn khối,,cá nhân/môi giới,Đã bàn giao,"nguyễn văn khối, gò vấp, Hồ Chí Minh, Vietnam",10.834824,106.675715
,,Tin thường,"(122.154, 141.346]",129.0,9.3,7.2,2024-10-26,4.0,4.0,bình tân,48500.0,bùi tư toàn,,cá nhân/môi giới,Đã bàn giao,"bùi tư toàn, bình tân, Hồ Chí Minh, Vietnam",10.770822,106.599385
,,Tin thường,"(102.962, 122.154]",112.8,3.9,3.5,2024-10-26,4.0,4.0,quận 9,59327.65113974232,,,cá nhân/môi giới,Đã bàn giao,", quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
,Đông - Nam,Tin VIP Vàng,"(83.769, 102.962]",86.0,5.9,6.9,2024-10-15,2.0,2.0,tân phú,72900.0,sơn kỳ,,Công ty Cổ phần Gamuda Land Việt Nam,Đang mở bán,"sơn kỳ, tân phú, Hồ Chí Minh, Vietnam",10.798689,106.617306
,,Tin thường,"(45.385, 64.577]",64.0,5.99,9.4,2024-10-26,5.0,5.0,bình tân,63800.0,mã lò,,cá nhân/môi giới,Đã bàn giao,"mã lò, bình tân, Hồ Chí Minh, Vietnam",10.770822,106.599385
,,Tin thường,"(102.962, 122.154]",110.0,6.8,6.2,2024-10-26,3.0,2.0,quận 7,129600.0,đường n,,Công ty TNHH Phát Triển Phú Mỹ Hưng,Đã bàn giao,"đường n, quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
Đông,Tây,Tin VIP Vàng,"(83.769, 102.962]",86.0,3.25,3.8,2024-10-15,3.0,2.0,quận 8,61907.186544342505,,1668.0,Công ty CP Đầu tư Năm Bảy Bảy,Đã bàn giao,", quận 8, Hồ Chí Minh, Vietnam",10.7216,106.629241
Đông,Đông,Tin thường,"(45.385, 64.577]",60.0,5.5,9.2,2024-10-26,5.0,6.0,bình tân,28400.0,"liên khu 4-5, phường bình hưng hòa b",,cá nhân/môi giới,Đã bàn giao,"liên khu 4-5, phường bình hưng hòa b, bình tân, Hồ Chí Minh, Vietnam",10.804888,106.591761
,,Tin thường,"(83.769, 102.962]",100.0,13.5,13.5,2024-10-26,4.0,4.0,bình tân,45781.513083048914,,,cá nhân/môi giới,Đã bàn giao,", bình tân, Hồ Chí Minh, Vietnam",10.770822,106.599385
,,Tin thường,"(64.577, 83.769]",82.0,3.7,4.5,2024-10-26,2.0,2.0,quận 4,246900.0,nguyễn tất thành,,Công ty CP Thương mại Địa ốc Việt (Vietcomreal),đã bàn giao,"nguyễn tất thành, quận 4, Hồ Chí Minh, Vietnam",10.760991,106.707458
,,Tin thường,"(45.385, 64.577]",60.0,3.8,6.3,2024-10-26,2.0,2.0,quận 1,161600.0,cô giang,,cá nhân/môi giới,Đã bàn giao,"cô giang, quận 1, Hồ Chí Minh, Vietnam",10.761643,106.693211
,,Tin thường,"(45.385, 64.577]",64.0,10.9,17.0,2024-10-26,4.0,5.0,gò vấp,97500.0,nguyễn văn lượng,,cá nhân/môi giới,Đã bàn giao,"nguyễn văn lượng, gò vấp, Hồ Chí Minh, Vietnam",10.834824,106.675715
Đông,Đông,Tin thường,"(45.385, 64.577]",60.0,6.7,11.2,2024-10-26,5.0,5.0,bình tân,63800.0,mã lò,,cá nhân/môi giới,Đã bàn giao,"mã lò, bình tân, Hồ Chí Minh, Vietnam",10.770822,106.599385
Đông - Nam,Đông - Nam,Tin VIP Vàng,"(179.731, 198.923]",184.0,36.5,19.8,2024-10-14,5.0,6.0,thủ đức,64800.0,hiệp bình,,Công ty CP Đầu tư Địa ốc Vạn Phúc - Dai Phuc Group,Đang mở bán,"hiệp bình, thủ đức, Hồ Chí Minh, Vietnam",10.838638,106.732671
Đông - Bắc,Đông - Bắc,Tin thường,"(102.962, 122.154]",105.0,18.4,17.5,2024-10-21,4.0,5.0,thủ đức,64800.0,hiệp bình,,Công ty CP Đầu tư Địa ốc Vạn Phúc - Dai Phuc Group,Đang mở bán,"hiệp bình, thủ đức, Hồ Chí Minh, Vietnam",10.838638,106.732671
,,Tin thường,"(83.769, 102.962]",100.0,35.0,35.0,2024-10-26,5.0,6.0,bình tân,45781.513083048914,,,cá nhân/môi giới,Đã bàn giao,", bình tân, Hồ Chí Minh, Vietnam",10.770822,106.599385
Tây - Nam,,Tin VIP Vàng,"(45.385, 64.577]",63.8,3.7,5.8,2024-10-14,5.0,6.0,thủ đức,59327.65113974232,,,cá nhân/môi giới,Đã bàn giao,", thủ đức, Hồ Chí Minh, Vietnam",10.829355,106.761905
,,Tin thường,"(102.962, 122.154]",115.0,10.5,9.1,2024-10-26,5.0,6.0,quận 7,80628.373015873,,,cá nhân/môi giới,Đã bàn giao,", quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
,,Tin thường,"(198.923, 218.115]",214.0,28.0,13.1,2024-10-25,4.0,4.0,quận 9,59327.65113974232,,296.0,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,Đã bàn giao,", quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
,,Tin thường,"(6.75, 26.192]",24.0,3.2,13.3,2024-10-16,2.0,3.0,gò vấp,82600.0,phạm văn chiêu,,cá nhân/môi giới,Đã bàn giao,"phạm văn chiêu, gò vấp, Hồ Chí Minh, Vietnam",10.834824,106.675715
,,Tin thường,"(45.385, 64.577]",64.0,1.75,2.7,2024-10-21,2.0,2.0,bình tân,59300.0,hồ học lãm,,Công ty CP Đầu tư Nam Long,Đã bàn giao,"hồ học lãm, bình tân, Hồ Chí Minh, Vietnam",10.770822,106.599385
Tây,,Tin thường,"(83.769, 102.962]",91.0,11.6,12.7,2024-10-25,4.0,5.0,quận 9,59327.65113974232,,296.0,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,Đã bàn giao,", quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
,,Tin thường,"(45.385, 64.577]",48.0,5.8,12.1,2024-10-20,4.0,3.0,gò vấp,101300.0,lê đức thọ,,cá nhân/môi giới,Đã bàn giao,"lê đức thọ, gò vấp, Hồ Chí Minh, Vietnam",10.834824,106.675715
,,Tin thường,"(198.923, 218.115]",203.15,90.0,44.3,2024-10-26,4.0,3.0,tân bình,101933.79629629629,,,cá nhân/môi giới,Đã bàn giao,", tân bình, Hồ Chí Minh, Vietnam",10.801616,106.651677
,,Tin thường,"(102.962, 122.154]",113.0,3.95,3.5,2024-10-26,3.0,2.0,bình chánh,49800.0,nguyễn văn linh,,Công ty CP Đầu tư & Phát triển Bất động sản An Gia,Bàn giao tháng 4/2023,"nguyễn văn linh, bình chánh, Hồ Chí Minh, Vietnam",10.690617,106.583092
,,Tin thường,"(45.385, 64.577]",50.0,4.5,9.0,2024-10-17,2.0,2.0,phú nhuận,110600.0,cô giang,,cá nhân/môi giới,Đã bàn giao,"cô giang, phú nhuận, Hồ Chí Minh, Vietnam",10.761643,106.693211
,,Tin thường,"(64.577, 83.769]",66.6,3.95,5.9,2024-10-22,2.0,2.0,bình thạnh,105035.10638297872,,,Công ty CP Tập đoàn Hưng Thịnh,Đã bàn giao,", bình thạnh, Hồ Chí Minh, Vietnam",10.811195,106.704566
,,Tin thường,"(218.115, 237.308]",229.5,52.0,22.7,2024-10-25,2.0,2.0,tân bình,101933.79629629629,,,cá nhân/môi giới,Đã bàn giao,", tân bình, Hồ Chí Minh, Vietnam",10.801616,106.651677
Tây,Tây,Tin thường,"(45.385, 64.577]",54.0,5.65,10.5,2024-10-26,2.0,2.0,tân phú,119100.0,nguyễn sơn,,cá nhân/môi giới,Đã bàn giao,"nguyễn sơn, tân phú, Hồ Chí Minh, Vietnam",10.79299,106.628352
Tây,Tây - Nam,Tin thường,"(198.923, 218.115]",200.0,28.0,14.0,2024-10-26,6.0,6.0,bình chánh,25803.571428571428,,,Công ty Cổ phần Him Lam,Đã bàn giao,", bình chánh, Hồ Chí Minh, Vietnam",10.690617,106.583092
,,Tin thường,"(45.385, 64.577]",56.0,4.65,8.3,2024-10-24,3.0,3.0,bình tân,55433.333333333336,tỉnh lộ 10,,cá nhân/môi giới,Đã bàn giao,"tỉnh lộ 10, bình tân, Hồ Chí Minh, Vietnam",10.770822,106.599385
,,Tin thường,"(83.769, 102.962]",95.0,9.0,9.5,2024-10-24,2.0,2.0,quận 2,132000.0,võ nguyên giáp,2.0,Công ty CP Ðịa ốc Thảo Ðiền,Đang mở bán,"võ nguyên giáp, quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
,,Tin thường,"(102.962, 122.154]",121.0,9.3,7.7,2024-10-22,5.0,4.0,quận 7,93150.0,huỳnh tấn phát,,cá nhân/môi giới,Đã bàn giao,"huỳnh tấn phát, quận 7, Hồ Chí Minh, Vietnam",10.736037,106.731316
,,Tin thường,"(83.769, 102.962]",88.0,17.8,20.2,2024-10-25,5.0,4.0,quận 1,267213.53383458644,,,cá nhân/môi giới,Đã bàn giao,", quận 1, Hồ Chí Minh, Vietnam",10.776172,106.701203
,,Tin thường,"(83.769, 102.962]",90.0,12.0,13.3,2024-10-22,4.0,4.0,tân bình,101933.79629629629,,,cá nhân/môi giới,Đã bàn giao,", tân bình, Hồ Chí Minh, Vietnam",10.801616,106.651677
,,Tin thường,"(122.154, 141.346]",140.0,85.0,60.7,2024-10-26,4.0,4.0,quận 1,409900.0,nguyễn trãi,,cá nhân/môi giới,Đã bàn giao,"nguyễn trãi, quận 1, Hồ Chí Minh, Vietnam",10.778697999999999,106.7023555
Nam,Nam,Tin thường,"(83.769, 102.962]",85.0,11.6,13.6,2024-10-25,4.0,4.0,quận 9,59327.65113974232,,296.0,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,Đã bàn giao,", quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
,,Tin VIP Bạc,"(64.577, 83.769]",69.0,2.85,4.1,2024-10-27,4.0,4.0,phú nhuận,133300.0,đào duy anh,,cá nhân/môi giới,Đã bàn giao,"đào duy anh, phú nhuận, Hồ Chí Minh, Vietnam",10.799478,106.680164
,,Tin thường,"(237.308, 256.5]",240.0,43.0,17.9,2024-10-26,4.0,4.0,phú nhuận,272200.0,nguyễn văn trỗi,,cá nhân/môi giới,Đã bàn giao,"nguyễn văn trỗi, phú nhuận, Hồ Chí Minh, Vietnam",10.796966,106.673308
,,Tin thường,"(64.577, 83.769]",67.0,8.0,11.9,2024-10-23,4.0,5.0,thủ đức,64800.0,hiệp bình,,cá nhân/môi giới,Đã bàn giao,"hiệp bình, thủ đức, Hồ Chí Minh, Vietnam",10.838638,106.732671
,,Tin thường,"(45.385, 64.577]",47.0,12.0,25.5,2024-10-26,4.0,5.0,quận 8,130400.0,dương bá trạc,,cá nhân/môi giới,Đã bàn giao,"dương bá trạc, quận 8, Hồ Chí Minh, Vietnam",10.746677,106.6891675
,,Tin thường,"(83.769, 102.962]",97.0,20.0,20.6,2024-10-25,4.0,5.0,quận 10,87200.0,bạch mã,,cá nhân/môi giới,Đã bàn giao,"bạch mã, quận 10, Hồ Chí Minh, Vietnam",10.767622,106.66706
,,Tin thường,"(83.769, 102.962]",99.0,50.0,50.5,2024-10-26,4.0,5.0,quận 1,266400.0,nguyễn công trứ,,cá nhân/môi giới,Đã bàn giao,"nguyễn công trứ, quận 1, Hồ Chí Minh, Vietnam",10.769608,106.702818
Tây - Nam,Tây - Nam,Tin VIP Bạc,"(83.769, 102.962]",84.0,12.767999999999999,15.2,2024-10-27,3.0,4.0,quận 1,267213.53383458644,,,cá nhân/môi giới,Đã bàn giao,", quận 1, Hồ Chí Minh, Vietnam",10.776172,106.701203
,,Tin thường,"(45.385, 64.577]",58.6,25.9,44.2,2024-10-25,3.0,4.0,quận 1,267213.53383458644,,,cá nhân/môi giới,Đã bàn giao,", quận 1, Hồ Chí Minh, Vietnam",10.776172,106.701203
