Title,Price,Address,Price per m2,Area,Bedrooms,Toilets,Published At,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,Project Title,Status,Number of Apartments,Number of Buildings,Developer,Project Address
,"2,6 tỷ","Thị trấn Phú Xuyên, Phú Xuyên, Hà Nội",,100 m²,,,18/10/2024,100 m²,"2,6 tỷ",Tây,,18/10/2024,28/10/2024,Tin thường,40452605,,,,,,"Thị trấn Phú Xuyên, Phú Xuyên, Hà Nội"
,55 triệu/m²,"Dự án Hà Nội Melody Residences, Đường Bằng Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",,97 m²,3 phòng,2 phòng,16/10/2024,97 m²,55 triệu/m²,Tây - Bắc,Đông - Nam,16/10/2024,23/10/2024,Tin VIP Kim Cương,41226516,Hà Nội Melody Residences,Đang mở bán,68-147 m²,2.000,Công ty CP Tập đoàn Hưng Thịnh,"Dự án Hà Nội Melody Residences, Đường Bằng Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội"
,Thỏa thuận,"Dự án Calyx Residence, Đường Cổ Loa, Xã Uy Nỗ, Đông Anh, Hà Nội",,70 m²,,,06/10/2024,70 m²,Thỏa thuận,Tây - Nam,Tây - Nam,06/10/2024,21/10/2024,Tin thường,35123969,Calyx Residence,Đang cập nhật tiến độ,Tổng Công ty 319 - Bộ Quốc phòng,,Tổng Công ty 319 - Bộ Quốc phòng,"Dự án Calyx Residence, Đường Cổ Loa, Xã Uy Nỗ, Đông Anh, Hà Nội"
,Thỏa thuận,"Xã Vân Nội, Đông Anh, Hà Nội",,104 m²,,,18/10/2024,104 m²,Thỏa thuận,,,18/10/2024,28/10/2024,Tin VIP Kim Cương,41254066,,,,,,"Xã Vân Nội, Đông Anh, Hà Nội"
,148 triệu/m²,"Đường Lê Hồng Phong, Phường Đằng Lâm, Hải An, Hải Phòng",,1.485 m²,,,18/10/2024,1.485 m²,148 triệu/m²,Bắc,,18/10/2024,28/10/2024,Tin thường,40918585,,,,,,"Đường Lê Hồng Phong, Phường Đằng Lâm, Hải An, Hải Phòng"
,"13,8 tỷ","Đường Lê Văn Lương, Phường Tân Phong, Quận 7, Hồ Chí Minh",,95 m²,4 phòng,5 phòng,19/10/2024,95 m²,"13,8 tỷ",,,19/10/2024,29/10/2024,Tin thường,41035779,,,,,,"Đường Lê Văn Lương, Phường Tân Phong, Quận 7, Hồ Chí Minh"
,"6,9 tỷ","Đường Văn Tiến Dũng, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",,52 m²,4 phòng,4 phòng,18/10/2024,52 m²,"6,9 tỷ",,,18/10/2024,28/10/2024,Tin thường,41253629,,,,,,"Đường Văn Tiến Dũng, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội"
,"2,9 tỷ","Xã Phước Long Thọ, Đất Đỏ, Bà Rịa Vũng Tàu",,"181,9 m²",,,04/10/2024,"181,9 m²","2,9 tỷ",,,04/10/2024,03/11/2024,Tin thường,40566970,,,,,,"Xã Phước Long Thọ, Đất Đỏ, Bà Rịa Vũng Tàu"
,120 triệu/m²,"The Crown - Vinhomes Ocean Park 3, Nghĩa Trụ, Văn Giang, Hưng Yên",,70 m²,,,18/10/2024,70 m²,120 triệu/m²,Đông - Nam,,18/10/2024,25/10/2024,Tin VIP Kim Cương,41253897,The Crown - Vinhomes Ocean Park 3,Đang mở bán,10,Tập đoàn Vingroup,Tập đoàn Vingroup,"The Crown - Vinhomes Ocean Park 3, Nghĩa Trụ, Văn Giang, Hưng Yên"
,15 tỷ,"Đường Hoàng Hữu Nam Long Thạnh Mỹ, Quận 9, Hồ Chí Minh.",,205 m²,,,18/10/2024,205 m²,15 tỷ,,,18/10/2024,28/10/2024,Tin thường,40427625,,,,,,"Đường Hoàng Hữu Nam Long Thạnh Mỹ, Quận 9, Hồ Chí Minh."
,"9,8 tỷ","Sol Forest Ecopark, Xuân Quan, Văn Giang, Hưng Yên",,180 m²,,,18/10/2024,180 m²,"9,8 tỷ",Đông - Nam,,18/10/2024,28/10/2024,Tin thường,41253625,Sol Forest Ecopark,6/2023: Đã bàn giao,1.194,2,Công ty Cổ phần Tập đoàn Ecopark,"Sol Forest Ecopark, Xuân Quan, Văn Giang, Hưng Yên"
,19 tỷ,"Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội",,90 m²,6 phòng,6 phòng,17/10/2024,90 m²,19 tỷ,Tây - Bắc,Tây - Bắc,17/10/2024,27/10/2024,Tin thường,30795111,,,,,,"Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội"
,"4,7 tỷ","Dự án T&T Phố Nối, Đường 5, Thị trấn Bần Yên Nhân, Mỹ Hào, Hưng Yên",,75 m²,,,18/10/2024,75 m²,"4,7 tỷ",Đông - Nam,,18/10/2024,17/11/2024,Tin thường,33941327,T&T Phố Nối,Đang mở bán,Công ty CP Tập đoàn T&T,,Công ty CP Tập đoàn T&T,"Dự án T&T Phố Nối, Đường 5, Thị trấn Bần Yên Nhân, Mỹ Hào, Hưng Yên"
,"6,25 tỷ","Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",,40 m²,5 phòng,4 phòng,11/10/2024,40 m²,"6,25 tỷ",,,11/10/2024,21/10/2024,Tin thường,41181730,,,,,,"Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội"
,"2,9 tỷ","Đường Áp Phan, Xã Đại Thành, Quốc Oai, Hà Nội",,52 m²,3 phòng,3 phòng,18/10/2024,52 m²,"2,9 tỷ",,,18/10/2024,28/10/2024,Tin thường,41249139,,,,,,"Đường Áp Phan, Xã Đại Thành, Quốc Oai, Hà Nội"
,Thỏa thuận,"Dự án Imperia Sola Park, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",,54 m²,2 phòng,2 phòng,15/10/2024,54 m²,Thỏa thuận,,,15/10/2024,22/10/2024,Tin VIP Kim Cương,41215993,Imperia Sola Park,Đang mở bán,32-75 m²,4.000,Tập đoàn MIK Corporation,"Dự án Imperia Sola Park, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội."
,"2,9 tỷ","Dự án Melody Residences 16 Âu Cơ, Đường Âu Cơ, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",,73 m²,2 phòng,2 phòng,18/10/2024,73 m²,"2,9 tỷ",Đông,,18/10/2024,28/10/2024,Tin thường,24288338,Melody Residences,Đã bàn giao,66-94 m²,704,Công ty CP Tập đoàn Hưng Thịnh,"Dự án Melody Residences 16 Âu Cơ, Đường Âu Cơ, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
,"5,2 tỷ","Đường 6, Phường Linh Tây, Thủ Đức, Hồ Chí Minh",,70 m²,,,08/10/2024,70 m²,"5,2 tỷ",,,08/10/2024,23/10/2024,Tin thường,40977425,,,,,,"Đường 6, Phường Linh Tây, Thủ Đức, Hồ Chí Minh"
,"6,8 tỷ","Đường Thái Phiên, Phường Phước Ninh, Quận Hải Châu, TP. Đà Nẵng",,"33,2 m²",3 phòng,3 phòng,18/10/2024,"33,2 m²","6,8 tỷ",Bắc,Đông - Bắc,18/10/2024,02/11/2024,Tin thường,41249125,,,,,,"Đường Thái Phiên, Phường Phước Ninh, Quận Hải Châu, TP. Đà Nẵng"
,5 tỷ,"Khai Sơn City, Ngọc Thụy, Long Biên, Hà Nội",,77 m²,2 phòng,2 phòng,18/10/2024,77 m²,5 tỷ,Tây - Bắc,Đông - Nam,18/10/2024,28/10/2024,Tin thường,41253624,Khai Sơn City,Đang mở bán,Đang cập nhật,,Đang cập nhật,"Khai Sơn City, Ngọc Thụy, Long Biên, Hà Nội"
,59 tỷ,"Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",,200 m²,,,19/10/2024,200 m²,59 tỷ,,,19/10/2024,29/10/2024,Tin thường,38128838,,,,,,"Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
,400 triệu/m²,"Dự án KĐT Tây Hồ Tây - Starlake Hà Nội, Phường Xuân La, Tây Hồ, Hà Nội",,270 m²,4 phòng,4 phòng,18/10/2024,270 m²,400 triệu/m²,,,18/10/2024,25/10/2024,Tin VIP Kim Cương,40952826,KĐT Tây Hồ Tây - Starlake Hà Nội,Đã bàn giao,603,3,Công ty TNHH Phát triển T.H.T,"Dự án KĐT Tây Hồ Tây - Starlake Hà Nội, Phường Xuân La, Tây Hồ, Hà Nội"
,"2,9 tỷ","Đường 10, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",,90 m²,,,18/10/2024,90 m²,"2,9 tỷ",Nam,,18/10/2024,28/10/2024,Tin thường,40859760,,,,,,"Đường 10, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng"
,21 tỷ,"21, Bình Thạnh, Hồ Chí Minh",,221 m²,20 phòng,20 phòng,18/10/2024,221 m²,21 tỷ,,,18/10/2024,28/10/2024,Tin thường,41253623,,,,,,"21, Bình Thạnh, Hồ Chí Minh"
,38 tỷ,"Đường Trường Chinh, Phường 13, Tân Bình, Hồ Chí Minh",,190 m²,30 phòng,30 phòng,07/10/2024,190 m²,38 tỷ,,,07/10/2024,22/10/2024,Tin thường,40063880,,,,,,"Đường Trường Chinh, Phường 13, Tân Bình, Hồ Chí Minh"
,Thỏa thuận,"Chung cư The Senique Hanoi , Dương Xá, Gia Lâm, Hà Nội",,54 m²,2 phòng,2 phòng,16/10/2024,54 m²,Thỏa thuận,,,16/10/2024,31/10/2024,Tin VIP Kim Cương,41230910,Chung cư The Senique Hanoi,Đang cập nhật tiến độ,42-430 m²,2.150,CapitaLand Development (Việt Nam),"Chung cư The Senique Hanoi , Dương Xá, Gia Lâm, Hà Nội"
,Thỏa thuận,"Dự án Boulevard Royale, Đường Quốc Lộ 13, Phường Bình Hòa, Thuận An, Bình Dương",,53 m²,1 phòng,1 phòng,18/10/2024,53 m²,Thỏa thuận,,,18/10/2024,28/10/2024,Tin thường,41130816,Boulevard Royale,Ngày 18/09/2024 sự kiện Kick off dự án Boulevard Royale,45-156 m²,481,Công ty CP Phát triển Bất động sản Phát Đạt,"Dự án Boulevard Royale, Đường Quốc Lộ 13, Phường Bình Hòa, Thuận An, Bình Dương"
,12 tỷ,"Đường T6, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh",,100 m²,2 phòng,2 phòng,18/10/2024,100 m²,12 tỷ,,,18/10/2024,28/10/2024,Tin thường,39175338,,,,,,"Đường T6, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh"
,"2,57 tỷ","Peninsula Đà Nẵng , Lê Văn Duyệt, Nại Hiên Đông , Sơn Trà, Đà Nẵng",,48 m²,2 phòng,2 phòng,18/10/2024,48 m²,"2,57 tỷ",Đông,Nam,18/10/2024,25/10/2024,Tin VIP Kim Cương,41253704,Peninsula Đà Nẵng,Đang nhận booking,45-301 m²,941,Công ty Cổ phần Tập đoàn Đông Đô,"Peninsula Đà Nẵng , Lê Văn Duyệt, Nại Hiên Đông , Sơn Trà, Đà Nẵng"
,Thỏa thuận,"Dự án Khu dân cư An Thuận, Đường N5, Xã Long An, Long Thành, Đồng Nai",,"93,8 m²",,,19/10/2024,"93,8 m²",Thỏa thuận,Bắc,,19/10/2024,29/10/2024,Tin thường,40654817,Khu dân cư An Thuận,Sắp mở bán,Công ty CP Đinh Thuận,,Công ty CP Đinh Thuận,"Dự án Khu dân cư An Thuận, Đường N5, Xã Long An, Long Thành, Đồng Nai"
,"1,05 tỷ","Dự án EHome 4 - Bắc Sài Gòn, Đường Quốc Lộ 13, Phường Vĩnh Phú, Thuận An, Bình Dương",,"44,5 m²",1 phòng,1 phòng,18/10/2024,"44,5 m²","1,05 tỷ",,,18/10/2024,28/10/2024,Tin thường,39429199,EHome 4,Đã bàn giao,Công ty CP Đầu tư Nam Long,,Công ty CP Đầu tư Nam Long,"Dự án EHome 4 - Bắc Sài Gòn, Đường Quốc Lộ 13, Phường Vĩnh Phú, Thuận An, Bình Dương"
,"3,8 tỷ","The Zurich - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội",,"63,1 m²",2 phòng,2 phòng,18/10/2024,"63,1 m²","3,8 tỷ",Đông - Bắc,Tây - Nam,18/10/2024,28/10/2024,Tin thường,40853858,The Zurich - Vinhomes Ocean Park,Đang mở bán,3,Tập đoàn Vingroup,Tập đoàn Vingroup,"The Zurich - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội"
,90 tỷ,"Đường Lạc Long Quân, Phường Nhật Tân, Tây Hồ, Hà Nội",,160 m²,,,19/10/2024,160 m²,90 tỷ,,,19/10/2024,29/10/2024,Tin thường,31717068,,,,,,"Đường Lạc Long Quân, Phường Nhật Tân, Tây Hồ, Hà Nội"
,"4,77 tỷ","Dự án Sun Symphony Residence, Đường Trần Hưng Đạo, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng",,"88,3 m²",3 phòng,2 phòng,15/10/2024,"88,3 m²","4,77 tỷ",Đông - Nam,Tây - Bắc,15/10/2024,30/10/2024,Tin VIP Kim Cương,41217786,Sun Symphony Residence,Đang cập nhật tiến độ,1.373,3,Tập đoàn Sun Group,"Dự án Sun Symphony Residence, Đường Trần Hưng Đạo, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng"
,3 tỷ,"Melody Residences 16 Âu Cơ, Đường Âu Cơ, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",,73 m²,2 phòng,2 phòng,18/10/2024,73 m²,3 tỷ,Đông,Đông - Nam,18/10/2024,28/10/2024,Tin thường,41248887,Melody Residences,Đã bàn giao,66-94 m²,704,Công ty CP Tập đoàn Hưng Thịnh,"Melody Residences 16 Âu Cơ, Đường Âu Cơ, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
,29 triệu/m²,"Tráng Việt, Mê Linh, Hà Nội",,60 m²,,,18/10/2024,60 m²,29 triệu/m²,Đông - Nam,,18/10/2024,28/10/2024,Tin thường,41253620,,,,,,"Tráng Việt, Mê Linh, Hà Nội"
,30 triệu,"Artisan Park, Hòa Phú, Thủ Dầu Một, Bình Dương",,215 m²,3 phòng,4 phòng,18/10/2024,215 m²,30 triệu,Đông - Nam,,18/10/2024,25/10/2024,Tin VIP Kim Cương,41253364,Artisan Park,Đang mở bán,Đang cập nhật,,Đang cập nhật,"Artisan Park, Hòa Phú, Thủ Dầu Một, Bình Dương"
,Thỏa thuận,"Dự án An Hưng, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội",,306 m²,,,01/10/2024,306 m²,Thỏa thuận,Tây - Bắc,,01/10/2024,31/10/2024,Tin thường,36671008,Khu đô thị mới An Hưng,Đã bàn giao,Công ty CP Đầu tư Đô thị An Hưng,,Công ty CP Đầu tư Đô thị An Hưng,"Dự án An Hưng, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội"
,"3,6 tỷ","Dự án The Fibonan Ecopark, Xã Xuân Quan, Văn Giang, Hưng Yên",,73 m²,2 phòng,2 phòng,10/10/2024,73 m²,"3,6 tỷ",Tây - Nam,Đông - Bắc,10/10/2024,20/10/2024,Tin thường,40677970,The Fibonan Ecopark,Đang mở bán,56-98 m²,656,Đang cập nhật,"Dự án The Fibonan Ecopark, Xã Xuân Quan, Văn Giang, Hưng Yên"
,"8,5 tỷ","Đường Phan Văn Trị, Phường 11, Bình Thạnh, Hồ Chí Minh",,56 m²,,,11/10/2024,56 m²,"8,5 tỷ",,,11/10/2024,21/10/2024,Tin thường,40851206,,,,,,"Đường Phan Văn Trị, Phường 11, Bình Thạnh, Hồ Chí Minh"
,"7,2 tỷ","Dự án Diamond Island, Phố Trần Quý Kiên, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",,91 m²,2 phòng,2 phòng,14/10/2024,91 m²,"7,2 tỷ",Tây - Nam,Đông,14/10/2024,21/10/2024,Tin VIP Kim Cương,41204201,Diamond Island,Đã bàn giao,1.275,6,Kusto Home,"Dự án Diamond Island, Phố Trần Quý Kiên, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh"
,35 triệu/m²,"Đường Đại lộ Thăng Long, Xã Hạ Bằng, Thạch Thất, Hà Nội",,92 m²,,,17/10/2024,92 m²,35 triệu/m²,Đông - Nam,,17/10/2024,27/10/2024,Tin thường,41076063,,,,,,"Đường Đại lộ Thăng Long, Xã Hạ Bằng, Thạch Thất, Hà Nội"
,"5,25 tỷ","Đường Đức Thượng, Xã Đức Thượng, Hoài Đức, Hà Nội",,92 m²,3 phòng,,18/10/2024,92 m²,"5,25 tỷ",,,18/10/2024,28/10/2024,Tin thường,41148580,,,,,,"Đường Đức Thượng, Xã Đức Thượng, Hoài Đức, Hà Nội"
,"3,6 tỷ","Đường Thanh Am, Phường Thượng Thanh, Long Biên, Hà Nội",,31 m²,,,18/10/2024,31 m²,"3,6 tỷ",,,18/10/2024,28/10/2024,Tin thường,41138190,,,,,,"Đường Thanh Am, Phường Thượng Thanh, Long Biên, Hà Nội"
,"5,8 tỷ","Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",,74 m²,2 phòng,2 phòng,13/10/2024,74 m²,"5,8 tỷ",,,13/10/2024,20/10/2024,Tin VIP Kim Cương,41194961,Masteri Thảo Điền,Đã bàn giao,45-100 m²,3.021,Masterise Homes,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh"
,"34,5 tỷ","Dự án Geleximco Lê Trọng Tấn, Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",,125 m²,4 phòng,5 phòng,18/10/2024,125 m²,"34,5 tỷ",,,18/10/2024,25/10/2024,Tin VIP Kim Cương,40682423,Khu đô thị Geleximco - Lê Trọng Tấn,Đã bàn giao,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco,,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco,"Dự án Geleximco Lê Trọng Tấn, Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội"
,"16,8 tỷ","Đường Nguyễn Minh Hoàng, Phường 12, Tân Bình, Hồ Chí Minh",,133 m²,,,07/10/2024,133 m²,"16,8 tỷ",,,07/10/2024,22/10/2024,Tin thường,38932395,,,,,,"Đường Nguyễn Minh Hoàng, Phường 12, Tân Bình, Hồ Chí Minh"
,41 triệu/m²,"KĐT An Bình Tân, Phường Phước Long, Thành phố Nha Trang, Khánh Hòa",,100 m²,,,18/10/2024,100 m²,41 triệu/m²,,,18/10/2024,28/10/2024,Tin thường,41253619,Khu đô thị An Bình Tân,Sắp mở bán,Công ty CP Xây lắp Vật tư Kỹ thuật,,Công ty CP Xây lắp Vật tư Kỹ thuật,"KĐT An Bình Tân, Phường Phước Long, Thành phố Nha Trang, Khánh Hòa"
,"21,3 tỷ","Đường Lê Trọng Tấn, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",,208 m²,4 phòng,4 phòng,18/10/2024,208 m²,"21,3 tỷ",,,18/10/2024,28/10/2024,Tin thường,39998432,,,,,,"Đường Lê Trọng Tấn, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
,"11,5 tỷ","Phố Đình Đông, Phường Đông Hải, Lê Chân, Hải Phòng",,87 m²,3 phòng,,18/10/2024,87 m²,"11,5 tỷ",Đông - Bắc,Đông - Bắc,18/10/2024,28/10/2024,Tin thường,40246856,,,,,,"Phố Đình Đông, Phường Đông Hải, Lê Chân, Hải Phòng"
,"1,86 tỷ","Xã Quảng Phú, Thanh Hóa, Thanh Hóa.",,105 m²,,,18/10/2024,105 m²,"1,86 tỷ",Tây - Bắc,,18/10/2024,28/10/2024,Tin thường,39778204,,,,,,"Xã Quảng Phú, Thanh Hóa, Thanh Hóa."
,5 tỷ,"Times City, Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội",,80 m²,2 phòng,2 phòng,16/10/2024,80 m²,5 tỷ,Nam,,16/10/2024,31/10/2024,Tin VIP Kim Cương,41226960,Times City,Đã bàn giao,12.000,23,Tập đoàn Vingroup,"Times City, Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
,"10,5 tỷ","Xã Long Tân, Đất Đỏ, Bà Rịa Vũng Tàu",,871 m²,,,24/09/2024,871 m²,"10,5 tỷ",,,24/09/2024,24/10/2024,Tin thường,40529057,,,,,,"Xã Long Tân, Đất Đỏ, Bà Rịa Vũng Tàu"
,"8,5 tỷ","Đường Minh Mạng, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",,125 m²,,,18/10/2024,125 m²,"8,5 tỷ",Bắc,,18/10/2024,28/10/2024,Tin thường,40860669,,,,,,"Đường Minh Mạng, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng"
,Thỏa thuận,"Dự án Peninsula Đà Nẵng, Đường Trần Hưng Đạo, Nại Hiên Đông, Sơn Trà, Đà Nẵng",,"46,5 m²",2 phòng,1 phòng,18/10/2024,"46,5 m²",Thỏa thuận,,,18/10/2024,25/10/2024,Tin VIP Kim Cương,39872128,Peninsula Đà Nẵng,Đang nhận booking,45-301 m²,941,Công ty Cổ phần Tập đoàn Đông Đô,"Dự án Peninsula Đà Nẵng, Đường Trần Hưng Đạo, Nại Hiên Đông, Sơn Trà, Đà Nẵng"
,"5,99 tỷ","Đường Vũ Xuân Thiều, Phường Sài Đồng, Long Biên, Hà Nội",,"44,5 m²",,,18/10/2024,"44,5 m²","5,99 tỷ",Nam,,18/10/2024,25/10/2024,Tin VIP Kim Cương,41249843,,,,,,"Đường Vũ Xuân Thiều, Phường Sài Đồng, Long Biên, Hà Nội"
,38 tỷ,"Đường Cộng Hòa, Phường 13, Tân Bình, Hồ Chí Minh",,"178,1 m²",1 phòng,1 phòng,19/10/2024,"178,1 m²",38 tỷ,,,19/10/2024,03/11/2024,Tin thường,41256635,,,,,,"Đường Cộng Hòa, Phường 13, Tân Bình, Hồ Chí Minh"
,"8,5 tỷ","Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",,165 m²,2 phòng,,13/10/2024,165 m²,"8,5 tỷ",,,13/10/2024,23/10/2024,Tin thường,41198101,Celadon City,Dự kiến 11/2022 bàn giao phân khu Diamond,Công ty Cổ phần Gamuda Land Việt Nam,,Công ty Cổ phần Gamuda Land Việt Nam,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
,Thỏa thuận,"Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",,43 m²,1 phòng,1 phòng,18/10/2024,43 m²,Thỏa thuận,,Đông - Bắc,18/10/2024,28/10/2024,Tin thường,41249430,Vinhomes Ocean Park Gia Lâm,Đang mở bán,66,Tập đoàn Vingroup,Tập đoàn Vingroup,"Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội"
,"21,5 tỷ","Phố Trung Hòa, Phường Trung Hòa, Cầu Giấy, Hà Nội",,70 m²,,,15/10/2024,70 m²,"21,5 tỷ",,,15/10/2024,30/10/2024,Tin thường,41220642,,,,,,"Phố Trung Hòa, Phường Trung Hòa, Cầu Giấy, Hà Nội"
,Thỏa thuận,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",,70 m²,2 phòng,2 phòng,18/10/2024,70 m²,Thỏa thuận,,,18/10/2024,25/10/2024,Tin VIP Kim Cương,38904891,Masteri Thảo Điền,Đã bàn giao,45-100 m²,3.021,Masterise Homes,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh"
,"13,5 triệu/m²","Xã Láng Dài, Đất Đỏ, Bà Rịa Vũng Tàu",,878 m²,,,19/09/2024,878 m²,"13,5 triệu/m²",,,19/09/2024,19/10/2024,Tin thường,40963528,,,,,,"Xã Láng Dài, Đất Đỏ, Bà Rịa Vũng Tàu"
,"1,85 tỷ","Dự án Dream Home, Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh",,65 m²,2 phòng,2 phòng,14/10/2024,65 m²,"1,85 tỷ",,,14/10/2024,24/10/2024,Tin thường,23502140,Dream Home,đã bàn giao,64-92 m²,3,Công ty TNHH Nhà Mơ,"Dự án Dream Home, Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh"
,"1,4 tỷ","Sài Gòn Intela, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh",,50 m²,2 phòng,2 phòng,18/10/2024,50 m²,"1,4 tỷ",Đông - Nam,Bắc,18/10/2024,28/10/2024,Tin VIP Kim Cương,41250729,Sài Gòn Intela,Đã bàn giao,48-1-2 m²,1.068,Công ty CP Đầu tư LDG,"Sài Gòn Intela, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
,"16,5 tỷ","Đường Ngô Thì Nhậm, Phường La Khê, Hà Đông, Hà Nội",,94 m²,6 phòng,6 phòng,18/10/2024,94 m²,"16,5 tỷ",,,18/10/2024,28/10/2024,Tin thường,41135157,,,,,,"Đường Ngô Thì Nhậm, Phường La Khê, Hà Đông, Hà Nội"
,65 triệu/m²,"Dự án N05 Trần Duy Hưng, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",,159 m²,3 phòng,,18/10/2024,159 m²,65 triệu/m²,Tây - Bắc,Đông - Nam,18/10/2024,28/10/2024,Tin thường,41147125,N05 - KDT Đông Nam Trần Duy Hưng,Đã bàn giao,Tổng công ty CP Xuất nhập khẩu và Xây dựng Việt Nam,,Tổng công ty CP Xuất nhập khẩu và Xây dựng Việt Nam,"Dự án N05 Trần Duy Hưng, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội"
,"22,5 tỷ","Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",,140 m²,,,18/10/2024,140 m²,"22,5 tỷ",,,18/10/2024,28/10/2024,Tin thường,41253912,,,,,,"Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội"
,"10,2 tỷ","Đường Lai Xá, Xã Kim Chung, Hoài Đức, Hà Nội",,68 m²,,,12/10/2024,68 m²,"10,2 tỷ",,,12/10/2024,27/10/2024,Tin thường,40787983,,,,,,"Đường Lai Xá, Xã Kim Chung, Hoài Đức, Hà Nội"
,"5,6 tỷ","Dự án Khai Sơn City, Phường Ngọc Thụy, Long Biên, Hà Nội",,101 m²,3 phòng,2 phòng,12/10/2024,101 m²,"5,6 tỷ",,Đông - Nam,12/10/2024,22/10/2024,Tin thường,41044759,Khai Sơn City,Đang mở bán,Đang cập nhật,,Đang cập nhật,"Dự án Khai Sơn City, Phường Ngọc Thụy, Long Biên, Hà Nội"
,"22,8 tỷ","Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",,145 m²,,,18/10/2024,145 m²,"22,8 tỷ",Đông - Nam,Đông - Bắc,18/10/2024,25/10/2024,Tin VIP Kim Cương,41167910,The Crown - Vinhomes Ocean Park 3,Đang mở bán,10,Tập đoàn Vingroup,Tập đoàn Vingroup,"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên"
,"3,2 tỷ","Đường Đặng Thùy Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh",,60 m²,,,19/10/2024,60 m²,"3,2 tỷ",,,19/10/2024,29/10/2024,Tin thường,41256658,,,,,,"Đường Đặng Thùy Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh"
